Date,Name,locations,Founded,Employees,Skill,About,Link
2024-Feb-27,Accolite Digital - Python Developer,Mumbai,Founded in 2000 , More than 1000 employees,"Python, AWS, DevOps, Unix","Accolite Digital provides cloud and digital product engineering services to help clients overcome digital challenges and achieve their goals. It caters to the banks, technology, healthcare, and media sectors.",https://www.instahyre.com/job-304982-python-developer-at-accolite-digital-mumbai/
2024-Feb-27,Alt Mobility - IoT Engineer,,Founded in 2020 , 10 - 50 employees,"Python, IoT, CAN, BMS, C++",Alt Mobility is an EV leasing platform that offers an electric fleet of vehicles for lease to provide intra-logistics services along with parts maintenance and insurance services for commercial vehicle users.,https://www.instahyre.com/job-304872-iot-engineer-at-alt-mobility-delhi/
2024-Feb-27,Amadeus - ML Engineer,Delhi,Founded in 1987 , More than 1000 employees,"Python, Machine Learning, MLOps","Amadeus is a leading provider of a range of IT solutions for the travel and tourism industry. The company's client portfolio includes airlines, travel agencies, hotels, railways, airports, and other travel service providers.",https://www.instahyre.com/job-304920-ml-engineer-at-amadeus-bangalore/
2024-Feb-27,Apexon - Geospatial General Specialist,,Founded in 1996 , More than 1000 employees,"Python, ArcGIS, GIS","Apexon is a digital technology services and platform solutions company that improves the customer digital experience and insight of several companies and specializes in analytics, AI, and cloud technologies.",https://www.instahyre.com/job-304952-geospatial-general-specialist-at-apexon-work-from-home/
2024-Feb-27,Augnito - Backend Engineer,Bangalore,Founded in 2019 , 200 - 500 employees,"Python, SQL, AWS, Golang, Java","Augnito is a voice recognition software co-designed by doctors and AI scientists to improve the quality of clinical documentation enabling doctors to edit, format, and complete reports with speed and accuracy.",https://www.instahyre.com/job-304933-backend-engineer-at-augnito-bangalore/
2024-Feb-27,Bristol Myers Squibb - Business Intelligence (BI) Analytical Solution,,Founded in 1887 , More than 1000 employees,"Python, SQL, Tableau, Power BI, Business Intelligence",Bristol Myers Squibb is a global biopharmaceutical company committed to creating innovative medicines for millions of patients around the world fighting serious diseases in various therapeutic areas.,https://www.instahyre.com/job-305031-business-intelligence-bi-analytical-solution-at-bristol-myers-squibb-hyderabad/
2024-Feb-27,CRED - Backend Developer,Work From Home,Founded in 2018 , 200 - 500 employees,"Python, Java, LLD, Microservices, Data Structures","CRED is a platform that enables CREDit card users to pay their bills and get rewarded by partner brands. Started by Kunal Shah, who had previously founded Freecharge and sold it to Snapdeal.",https://www.instahyre.com/job-304913-backend-developer-at-cred-bangalore/
2024-Feb-27,Dragonfruit AI - DevOps Engineer,,Founded in 2019 , 10 - 50 employees,"Python, AWS, Kubernetes, DevOps","Dragonfruit is a video AI platform that gives multi-location visibility, real-time alerts, occupancy management, and forensic investigations that centrally ingest, analyze, and manage all physical security video.",https://www.instahyre.com/job-304962-devops-engineer-at-dragonfruit-ai-work-from-home/
2024-Feb-27,Evernorth Health Services - Software Engineering Adviser,Bangalore,Founded in 1993 , More than 1000 employees,"Python, Reliability Engineering, AWS, CI - CD","Evernorth is a pharmacy benefit management and specialty managed care company delivering premier health services including benefits management, pharmacy, care solutions, insights, and more for organizations.",https://www.instahyre.com/job-304957-software-engineering-adviser-at-evernorth-health-services-hyderabad/
2024-Feb-27,Health iPASS - Sr. Python Developer,,Founded in 2013 , 10 - 50 employees,"Python, Django, Flask, NumPy, PyTorch, pandas","Health iPASS is a healthcare-tech firm simplifying RCM for healthcare institutions by improving patient experience through a virtual patient check-in, intake, and payment experience with clear cost communication.",https://www.instahyre.com/job-305028-sr-python-developer-at-health-ipass-work-from-home/
2024-Feb-27,Intract - DevOps Engineer,Hyderabad,Founded in 2020 , 0 - 10 employees,"Python, DevOps, AWS, CI - CD","Intract is a white-label social platform that helps to analyze, retain and acquire users by enabling businesses to measure and incentivize engagement, tokenize community, reward contributors, and more.",https://www.instahyre.com/job-304896-devops-engineer-at-intract-gurgaon/
2024-Feb-27,Jumbotail - Decision Science Analyst,,Founded in 2015 , 200 - 500 employees,"Python, SQL, Data Analysis","Jumbotail is an online platform for wholesale buyers/retailers to procure their groceries, fruits and vegetables form producers/manufacturers. Founders are Stanford MBAs. The company has raised $2 million in VC funding.",https://www.instahyre.com/job-305020-decision-science-analyst-at-jumbotail-bangalore/
2024-Feb-27,Kenvue - Sr. DevOps Engineer,Bangalore,Founded in 2022 , More than 1000 employees,"Python, DevOps, AWS, Azure, Ansible","Kenvue is a healthcare company and a subsidiary of Johnson & Johnson, it operates popular brands like Aveeno, Band-Aid, Benadryl, Johnson's Baby, Listerine, Mylanta, Neutrogena, Tylenol, and Visine.",https://www.instahyre.com/job-304929-sr-devops-engineer-at-kenvue-bangalore/
2024-Feb-27,MakeMyTrip - Senior Python Developer,,Founded in 2000 , More than 1000 employees,"Python, Django, Microservices","Founded in 2000, MakeMyTrip pioneered the online travel industry in India. Launched its U.S. IPO in 2010 as only the fourth Indian company to do so since 1999. Currently it is building lots of new products and has also acquired several startups recently to fuel growth.",https://www.instahyre.com/job-304919-senior-python-developer-at-makemytrip-gurgaon/
2024-Feb-27,MSD Technologies - Software Developer,Work From Home,Founded in 2012 , 10 - 50 employees,"Python, Data Structures, Agile, Java, C#",MSD Technologies provides engineering services specializing in the HVAC industry developing software for designing and rating of HVAC softwares along with producing machine tools heat exchangers.,https://www.instahyre.com/job-304938-software-developer-at-msd-technologies-work-from-home/
2024-Feb-27,Phoneme Solutions - Python Developer (MVC Framework),,Founded in 2015 , 10 - 50 employees,"Python, Django, JavaScript, ORM","Phoneme Solutions is an AI-driven voice and data analytics company proficient in analytical and real-time cloud computing solutions, digital marketing, and SEO to empower brands for long-term engagements.",https://www.instahyre.com/job-304907-python-developer-mvc-framework-at-phoneme-solutions-noida/
2024-Feb-27,Porter - Lead Business Analyst,Hyderabad,Founded in 2014 , 500 - 1000 employees,"Python, Metabase, Amazon Redshift, AWS Lambda, Docker","Porter, an online logistics marketplace, has raised US $5.5 Mn in series A funding from Sequoia, Kae and other investors. It aims to disrupt and organize the $6 Bn mini truck transportation market in India.",https://www.instahyre.com/job-304955-lead-business-analyst-at-porter-bangalore/
2024-Feb-27,Rupyz - Backend Developer,,Founded in 2019 , 10 - 50 employees,"Python, Django, Data Structures, CI - CD, Elasticsearch","Rupyz is a software development company providing a B2B e-commerce SaaS platform to 85 brands and 250,000 retailers to streamline the supply chain processes with enhanced ROI and operational efficiency.",https://www.instahyre.com/job-304925-backend-developer-at-rupyz-gurgaon/
2024-Feb-27,Spry Health - Data Scientist,Work From Home,Founded in 2013 , 10 - 50 employees,"Python, Machine Learning, NLP, SQL, Computer Vision",Spry Health is a healthcare company that develops digital health solutions to identify early signs of clinical deterioration in chronically-ill patients thus improving the outcomes for healthcare organizations.,https://www.instahyre.com/job-304981-data-scientist-at-spry-health-pune/
2024-Feb-27,Tech Mahindra - GCP Architect,,Founded in 1986 , More than 1000 employees,"Python, Google Cloud, Linux, Network Administration, Kubernetes","Tech Mahindra is an MNC provider of IT, networking, and BPO services to various verticals & horizontals. With 1.2 lakhs professionals across 90 countries, it is valued at US$4.7 Billion. Ranked #15 in Forbes Digital List.",https://www.instahyre.com/job-304956-gcp-architect-at-tech-mahindra-2-hyderabad/
2024-Feb-27,Accolite Digital - Python Developer,Bangalore,Founded in 2000 , More than 1000 employees,"Python, AWS, NumPy, pandas, FastAPI","Accolite Digital provides cloud and digital product engineering services to help clients overcome digital challenges and achieve their goals. It caters to the banks, technology, healthcare, and media sectors.",https://www.instahyre.com/job-304852-python-developer-at-accolite-digital-bangalore/
2024-Feb-27,AltiusHub - Data Engineer,,Founded in 2023 , 10 - 50 employees,"Python, Distributed Systems, Azure Cosmos DB, +2","AltiusHub is a software company building an all-in-one cloud-based SaaS platform that provides serialization, track and trace, warehousing, and compliance solution for pharma, biotech, and defense companies.",https://www.instahyre.com/job-304823-data-engineer-at-altiushub-hyderabad/
2024-Feb-27,Apexon - Azure Data Engineer,Hyderabad,Founded in 1996 , More than 1000 employees,"Python, Azure Data Factory, Azure Data Lake, Databricks, PySpark","Apexon is a digital technology services and platform solutions company that improves the customer digital experience and insight of several companies and specializes in analytics, AI, and cloud technologies.",https://www.instahyre.com/job-304861-azure-data-engineer-at-apexon-work-from-home/
2024-Feb-27,Autonomize AI - Senior Machine Learning Engineer,,Founded in 2021 , 10 - 50 employees,"Python, Machine Learning, NLP",Autonomize is a human-centric AI platform that learns from multi-structured clinical and biomedical data and pairs it with human context to aid decision-making and data discovery for better human health outcomes.,https://www.instahyre.com/job-304828-senior-machine-learning-engineer-at-autonomize-ai-bangalore/
2024-Feb-27,Blenheim Chalcot - LEAD Fullstack Engineer,Work From Home,Founded in 1998 , More than 1000 employees,"Python, JavaScript, React.js, Angular, Vue.js","Blenheim Chalcot is the UK's leading venture and startup builder that has built over 40 businesses in a variety of sectors, including technology, financial services, education, travel, software, sport, and media.",https://www.instahyre.com/job-304850-lead-fullstack-engineer-at-blenheim-chalcot-mumbai/
2024-Feb-27,Blenheim Chalcot - Senior Python Developer,,Founded in 1998 , More than 1000 employees,"Python, Django, Flask, SQL, Jira","Blenheim Chalcot is the UK's leading venture and startup builder that has built over 40 businesses in a variety of sectors, including technology, financial services, education, travel, software, sport, and media.",https://www.instahyre.com/job-304853-senior-python-developer-at-blenheim-chalcot-mumbai/
